"Id";"Oznaczenie";"Pakiet";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"U14";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
2;"R57";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
3;"C13";"CP_Elec_6.3x5.9";1;"100/16";;;
4;"C12";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"10u 6.3";;;
5;"U13";"TO-92L_Inline";1;"DS18B20";;;
6;"J3_DC5V1";"TerminalBlock_MetzConnect_Type073_RT02603HBLU_1x03_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
7;"Q21,Q19,Q18,Q15,Q20,Q13,Q12,Q14,Q11,Q17,Q16";"SOT-23";11;"BC857";;;
8;"U1";"esp32_devkit_v1_doit";1;"ESP32_DevKit_V1_DOIT";;;
9;"J2";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x11";;;
10;"J1";"TerminalBlock_MetzConnect_Type086_RT03403HBLC_1x03_P3.81mm_Horizontal";1;"Screw_Terminal_01x03";;;
11;"J6,J13,J12,J5,J7,J5_AC_INPUT1,J4_AC_OUTPUT1,J8,J9,J10,J3,J4,J11";"TerminalBlock_MetzConnect_Type171_RT13702HBWC_1x02_P7.50mm_Horizontal";13;"Screw_Terminal_01x02";;;
12;"D3,D2,D5,D4,D8,D7,D1,D10,D11,D6,D9";"LED_D3.0mm_Clear";11;"LED_Small";;;
13;"R5,R2,R9,R7,R4,R8,R53,R6,R11,R10,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"330R";;;
14;"U8,U2,U11,U10,U9,U3,U7,U12,U5,U6,U4";"DIP-6_W7.62mm_Socket_LongPads";11;"MOC3083M";;;
15;"R50,R48,R44,R47,R45,R52,R46,R49,R42,R43,R51";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"680R";;;
16;"R40,R38,R34,R56,R37,R41,R33,R35,R32,R39,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";11;"1k";;;
17;"R27,R55,R30,R28,R25,R26,R31,R24,R22,R29,R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";11;"22R";;;
18;"Q9,Q7,Q2,Q1,Q3,Q8,Q10,Q5,Q4,Q22,Q6";"TO-220-3_Vertical";11;"BT136-600";;;
19;"C3,C4,C7,C2,C11,C6,C1,C5,C10,C9,C8";"C_Rect_L19.0mm_W7.0mm_P15.00mm_MKS4";11;"10n";;;
20;"JP1,JP9,JP6,JP5,JP3,JP7,JP11,JP2,JP8,JP10,JP4";"PinSocket_1x02_P2.54mm_Vertical";11;"Jumper_2_Open";;;
21;"RV6,RV2,RV1,RV12,RV9,RV7,RV4,RV10,RV8,RV11,RV3,RV5";"RV_Disc_D9mm_W3.3mm_P5mm";12;"Varistor";;;
22;"R19,R54,R21,R16,R18,R14,R13,R17,R12,R15,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";11;"27R";;;
23;"F1";"Fuseholder_Littelfuse_100_series_5x20mm";1;"Fuse";;;
24;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
25;"PS1";"Converter_ACDC_HiLink_HLK-PMxx";1;"HLK-PM03";;;
